COURSE #,TITLE/START DATE,Acad Level,CAPACITY,# OF STUDENTS,STATUS,INSTRUCTOR,Start Time,End Time,Meeting Days,Bldg,Room,XLIST CRS,FEE,Min Cred,Max Cred,COREQ CRS,Section,Term,Seq No,Schools,,,,,,,,,,,,,,Acad Level
CIS_150_01,Business Technology 1,UG,25,0,Open,Mr R Lamb,08:00AM,08:55AM,M W F,Z,355,,$70,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_150_02,Business Technology 1,UG,25,0,Open,Mr D Marino,10:10AM,11:05AM,M W F,Z,355,,$70,3.00,0.00,,02,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_150_03,Business Technology 1,UG,25,0,Open,Mr D Marino,09:05AM,10:00AM,M W F,Z,355,,$70,3.00,0.00,,03,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_150_04,Business Technology 1,UG,25,0,Open,Mr R Lamb,11:15AM,12:10PM,M W F,Z,355,,$70,3.00,0.00,,04,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_150_1E,Business Technology 1,UG,25,0,Open,Staff,04:30PM,05:50PM,M W,Z,130,,$70,3.00,0.00,,1E,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_150_N1,Business Technology 1 08/19 - 11/30,UG,25,0,Open,Mr J Kwashnak,,,,ON,ONLINE,,$70,3.00,0.00,,N1,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_150_N2,Business Technology 1 08/19 - 11/30,UG,25,0,Open,Mr J Kwashnak,,,,ON,ONLINE,,$70,3.00,0.00,,N2,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_170_01,PC OS/Internet 08/21 - 09/19,UG,25,0,Open,Mr D Marino,01:25PM,02:45PM,M W,Z,130,,$20,1.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_171_01,Word Processing 09/24 - 10/24,UG,25,0,Open,Mr D Marino,01:25PM,02:45PM,M W,Z,130,,$20,1.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_172_01,Electronic Spreadsht 10/29 - 12/13,UG,25,0,Open,Mr D Marino,01:25PM,02:45PM,M W,Z,130,,$20,1.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_180_01,Prob Solv & Comp Prog,UG,24,0,Open,Dr H Perez-Gonzalez,11:15AM,12:10PM,M W,Z,335,,,2.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_180_02,Prob Solv & Comp Prog,UG,24,0,Open,Dr H Perez-Gonzalez,08:00AM,08:55AM,M W,Z,335,,,2.00,0.00,,02,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
CIS_180_03,Prob Solv & Comp Prog,UG,24,0,Open,Ms Q Zhang,03:00PM,03:55PM,M W,Z,335,,,2.00,0.00,,03,24/FA,1,ASSEC,,,,,,,,,,,,,,UG
